school_name,sub_county,county,Location,geocoding_query,formatted_address,location_type,Unnamed: 7,status,distance_to_center_km,latitude,longitude,cluster_id,distance_to_cluster_center_km
Mogotio Township SS,Mogotio,Baringo County,"-0.01839391855681823, 35.95783700085272","Mogotio Township SS, Mogotio, Baringo County, Kenya","Mogotio, Kenya",APPROXIMATE,,SUCCESS,21.1661136883123,-0.0183939185568182,35.95783700085272,9,18.488939651710428
Senetwo Secondary School,Baringo Central,Baringo County,"0.575416010660691, 35.82522218283366","Senetwo Secondary School, Baringo Central, Baringo County, Kenya","HRGG+43, Kipcherere, Kenya",GEOMETRIC_CENTER,,SUCCESS,50.7935110376527,0.575416010660691,35.82522218283366,3,16.686866600092227
Kaptimbor Secondary School,Baringo Central,Baringo County,"0.4984420403092475, 35.73464657261704","Kaptimbor Secondary School, Baringo Central, Baringo County, Kenya","FPXM+7RP, Kabarnet, Kenya",GEOMETRIC_CENTER,,SUCCESS,43.4373404199729,0.4984420403092475,35.73464657261704,3,19.54445122402008
Marigat Intergrated,Marigat,Baringo County,"0.47294696744742504, 35.98209259240108","Marigat Intergrated, Marigat, Baringo County, Kenya","FXFJ+3R9, Marigat, Kenya",GEOMETRIC_CENTER,,SUCCESS,43.0239878507613,0.472946967447425,35.98209259240108,9,36.22025213317498
Maji Mazuri R.C Mixed Day Secondary School,Koibatek,Baringo County,"-0.039775280645985955, 35.679549749120355","Maji Mazuri R.C Mixed Day Secondary School, Koibatek, Baringo County, Kenya","Maji Mazuri, Kenya",APPROXIMATE,,SUCCESS,20.967652354962,-0.0397752806459859,35.679549749120355,15,0.0
Sagasagik Secondary School,Mogotio,Baringo County,"0.08226697641321234, 35.862585653997705","Sagasagik Secondary School, Mogotio, Baringo County, Kenya","Mogotio, Kenya",APPROXIMATE,,SUCCESS,21.1661136883123,0.0822669764132123,35.862585653997705,9,13.972009710482157
Tiriondonin Secondary School,Baringo North,Baringo County,"0.6500133325693297, 35.766694192014775","Tiriondonin Secondary School, Baringo North, Baringo County, Kenya","Tiriondonin, Kenya",APPROXIMATE,,SUCCESS,61.3759188273491,0.6500133325693297,35.766694192014775,3,6.696603611150033
Kaptimbor Secondary School,Baringo Central,Baringo County,"0.49839152477520604, 35.73451614964479","Kaptimbor Secondary School, Baringo Central, Baringo County, Kenya","FPXM+7RP, Kabarnet, Kenya",GEOMETRIC_CENTER,,SUCCESS,43.4373404199729,0.498391524775206,35.73451614964479,3,19.548060036910204
Chemolingot Mixed Secondary School,Marigat,Baringo County,"0.9835091807279436, 35.97073454281554","Chemolingot Mixed Secondary School, Marigat, Baringo County, Kenya","Marigat, Kenya",APPROXIMATE,,SUCCESS,42.7518399964222,0.9835091807279436,35.97073454281554,3,45.05657509199526
Bhakita Mixed Day Secondary School,Koibatek,Baringo County,"0.952097484186158, 35.57389140116128","Bhakita Mixed Day Secondary School, Koibatek, Baringo County, Kenya","Seretunin Primary School, P.O Box 4, Seretunin Road, Kenya",GEOMETRIC_CENTER,,SUCCESS,48.443805197006,0.952097484186158,35.57389140116128,3,34.60992499753496
Sigowet Secondary School,Bomet East sub county,Bomet County,"-0.8287072779899964, 35.46120407819754","Sigowet Secondary School, Bomet East sub county, Bomet County, Kenya","5FC6+5CP, Kembu, Kenya",GEOMETRIC_CENTER,,SUCCESS,112.968434145093,-0.8287072779899964,35.46120407819754,8,0.0
Oldebess Secondary School,Sotik Sub county,Bomet County,"0.052916865346209395, 36.07756272857096","Oldebess Secondary School, Sotik Sub county, Bomet County, Kenya","933, Sotik, Kenya",GEOMETRIC_CENTER,,SUCCESS,120.085402322138,0.0529168653462093,36.07756272857096,9,15.920317912268033
Siongiroi Secondary School,Chepalungu sub county,Bomet County,"-0.9092989269074271, 35.224860809277764","Siongiroi Secondary School, Chepalungu sub county, Bomet County, Kenya","46GG+8G Chepalungu Forest, Siongiroi, Kenya",GEOMETRIC_CENTER,,SUCCESS,128.979147804707,-0.9092989269074272,35.224860809277764,17,6.950507673632946
Kamogoso Secondary School,Bomet Central sub county,Bomet County,"-0.6949527542283747, 35.262552853998095","Kamogoso Secondary School, Bomet Central sub county, Bomet County, Kenya","P.O. Box 109 Bomet, Kimargis-Kamogoso Rd, Kenya",GEOMETRIC_CENTER,,SUCCESS,110.073112644151,-0.6949527542283747,35.262552853998095,23,7.320551199619635
Kabiangek Secondary School,Konoin Sub County,Bomet County,"-0.5832918002087798, 35.20629879519993","Kabiangek Secondary School, Konoin Sub County, Bomet County, Kenya","Kabiangek Primary School, Kericho, Kenya",GEOMETRIC_CENTER,,SUCCESS,104.063459757063,-0.5832918002087798,35.20629879519993,23,7.939782437513391
Sironet secondary School,Sotik Sub county,Bomet County,"-0.6880151913038719, 35.20502375456806","Sironet secondary School, Sotik Sub county, Bomet County, Kenya","P. O. BOX 305-20406, Sotik, Kenya",GEOMETRIC_CENTER,,SUCCESS,120.085401354897,-0.6880151913038719,35.20502375456806,23,9.036979531479043
Tebeswet Secondary School,Chepalungu sub county,Bomet County,"-0.8492156536657899, 35.285332517775494","Tebeswet Secondary School, Chepalungu sub county, Bomet County, Kenya","P.O. Box 58 Olbutyo, Kapkwen - Olbutyo Rd, Kenya",GEOMETRIC_CENTER,,SUCCESS,124.287132529773,-0.8492156536657899,35.285332517775494,17,4.24062697823154
Kapsangaru Secondary School,Bomet Central sub county,Bomet County,"-0.7942758655370268, 35.23149669632675","Kapsangaru Secondary School, Bomet Central sub county, Bomet County, Kenya","P.O. Box 253 Sotik, Kenya",GEOMETRIC_CENTER,,SUCCESS,121.154607769607,-0.7942758655370268,35.23149669632675,17,6.538028939095952
Koita Secondary School,Bomet East sub county,Bomet County,"0.550279, 35.370311","Koita Secondary School, Bomet East sub county, Bomet County, Kenya","4824+J3R, Kenya",GEOMETRIC_CENTER,,SUCCESS,127.058634323517,0.550279,35.370311,3,40.23360901578648
Simot Secondary School,Konoin Sub County,Bomet County,"-0.550279,35.370311","Simot Secondary School, Konoin Sub County, Bomet County, Kenya","97J9+FJ5, Mogogosiek, Kenya",GEOMETRIC_CENTER,,SUCCESS,102.766607036149,-0.550279,35.370311,23,14.982732060867546
Kimana Mixed Secondary School,Loitokitok/Kajiado South,Kajiado County,"-2.80248,37.53561","Kimana Mixed Secondary School, Loitokitok/Kajiado South, Kajiado County, Kenya","5GPH+5M5, Oloitokitok, Kenya",GEOMETRIC_CENTER,,SUCCESS,377.095830010283,-2.80248,37.53561,13,56.14976322395904
Masimba Secondary School,Mashuuru,Kajiado County,"-2.10328,37.12907","Masimba Secondary School, Mashuuru, Kajiado County, Kenya","Mashuru, Kenya",APPROXIMATE,,SUCCESS,279.918055016945,-2.10328,37.12907,13,48.289714403121934
Nkaimurunya Secondary School,Kajiado North,Kajiado County,"-1.365746,36.717311","Nkaimurunya Secondary School, Kajiado North, Kajiado County, Kenya","P.O box 15577, Gataka Rd, Nairobi City, Kenya",GEOMETRIC_CENTER,,SUCCESS,196.159970084229,-1.365746,36.717311,16,8.47477254217278
Keekonyokie Mixed Secondary School,Kajiado West,Kajiado County,"-1.041904997109092, 36.16274056833939","Keekonyokie Mixed Secondary School, Kajiado West, Kajiado County, Kenya","Kajiado County, Kenya",APPROXIMATE,,SUCCESS,268.394938704077,-1.041904997109092,36.16274056833939,16,68.23063753188708
St. Patrick's Kajiado Township Sec,Kajiado Central,Kajiado County,"-1.842609,36.788451","St. Patrick's Kajiado Township Sec, Kajiado Central, Kajiado County, Kenya","Kitengela, Kajiado, Kenya",GEOMETRIC_CENTER,,SUCCESS,243.230437819149,-1.842609,36.788451,16,50.45963428567865
Entarara Secondary School,Loitokitok/Kajiado South,Kajiado County,"-2.99417,37.6242","Entarara Secondary School, Loitokitok/Kajiado South, Kajiado County, Kenya","2J88+RWH, Entarara, Kenya",GEOMETRIC_CENTER,,SUCCESS,398.197725533987,-2.99417,37.6242,13,76.82502292788904
Torosei Secondary School,Elangata Wuas,Kajiado County,"-2.262508,36.4095","Torosei Secondary School, Elangata Wuas, Kajiado County, Kenya","Elangata Waus, Kenya",APPROXIMATE,,SUCCESS,238.254546356401,-2.262508,36.4095,13,83.14116942530974
Kitengela Magereza,Isinya,Kajiado County,"-1.450000,36.966670","Kitengela Magereza, Isinya, Kajiado County, Kenya","Isinya, Kenya",APPROXIMATE,,SUCCESS,228.988732236901,-1.45,36.96667,16,34.994271108919705
Kibiko Secondary School,Kajiado West,Kajiado County,"-1.344764,36.637544","Kibiko Secondary School, Kajiado West, Kajiado County, Kenya","MJ4Q+2JW, Ngong, Kenya",GEOMETRIC_CENTER,,SUCCESS,186.130766165828,-1.344764,36.637544,16,7.388976163587738
Namanga Secondary School,Oloililai,Kajiado County,"-2.522203512109536, 36.82981333798267","Namanga Secondary School, Oloililai, Kajiado County, Kenya","Namanga, Tanzania",GEOMETRIC_CENTER,,SUCCESS,315.947179157958,-2.522203512109536,36.82981333798267,13,30.684206551091275
